no,date,time,headline_news,news_categorical,labels
1,2021/02/19,18:47:54,Sejumlah bank ini melayani transaksi pembayaran tes covid 19,positive,1
2,2021/02/18,16:37:34,"BI pangkas suku bunga, ini kata bos BRI",positive,1
3,2021/02/18,15:56:30,"Cari pertumbuhan baru sektor UMKM, BRI sasar segmen ultra mikro",positive,1
4,2021/02/18,15:55:04,"Gandeng PMI, BRIIIian AGRO gelar donor darah di masa pandemi",neutral,0
5,2021/02/18,8:46:50,Cost to income ratio perbankan diyakini turun tahun ini,positive,1
6,2021/02/18,4:20:44,"BRI sebar 6.000 KPR FLPP, simak syarat pengajuannya",neutral,0
7,2021/02/26,9:34:41,BRI himbau nasabah segera ganti ATM strip magnetik dengan kartu chip,negative,-1
8,2021/02/25,20:12:41,"Emdeki Utama (MDKI) Meraup kredit Rp 34,07 miliar dari Bank BRI (BBRI)",Negative,-1
9,2021/02/25,14:17:42,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya",Negative,-1
10,2021/02/05,8:52:39,Pertama gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,Positive,1
